127.0.0.1 - - [13/Oct/2015:15:20:58 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:00 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:00 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:06 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:06 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/Home.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/Header.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/ManualChange.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/RefreshLatest.jsp HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/RefreshAnalyzer.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/Footer.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:21:11 +0530] "GET /AutomaticTrafficShapingGUI/vzlogo.jpg HTTP/1.1" 304 -
